"","p","r","n","b","q"
"127",0.512975425551209,0.509994300075135,0.249928750939192,0.325637355234863,0.409708008394435
"128",0.51222083322538,0.509310956810115,0.249591937197191,0.325303780086535,0.408840065290048
"129",0.51146219265746,0.50859198901469,0.249261600642537,0.324960489157188,0.408121097494624
"130",0.510748082752546,0.50790864574967,0.248928025494209,0.32459452807213,0.407544627820815
"131",0.510035592144467,0.50729979013913,0.248643029250978,0.324286861673187,0.40696168095966
"132",0.509342533098427,0.506652071404513,0.248374225976112,0.323979195274244,0.40635282534912
"133",0.508729629245796,0.505981682514185,0.248082752545535,0.323665051687955,0.405718060989196
"134",0.50811915433842,0.50544083737078,0.247791279114957,0.323373578257378,0.405063865067233
"135",0.507528920641501,0.504861129103298,0.247548384589476,0.323111252169858,0.404416146332617
"136",0.507003458818043,0.504223126149701,0.24736378475011,0.322858641863357,0.403742518848615
"137",0.506490141720859,0.503649895069565,0.247146798974014,0.322622224525222,0.403204912298883
"138",0.506001114076224,0.503180298986968,0.246958960540975,0.322340466875664,0.402641396999767
"139",0.505547710961992,0.502717180091717,0.246748451952224,0.322110526724875,0.402058450138612
"140",0.50511292976138,0.502270254164832,0.246563852112859,0.321870870793067,0.401488457652149
"141",0.504673290670259,0.501790942301215,0.246421353991243,0.321670077985336,0.40099619141384
"142",0.504243367360158,0.501379640904734,0.246275617275954,0.32144337642822,0.400614037360417
"143",0.503832875612094,0.50095538513356,0.246055392906184,0.3212652537762,0.400212451744954
"144",0.503428051402959,0.500524652175039,0.245896701816203,0.321070938155815,0.399752571443376
"145",0.503040229810607,0.500152213902635,0.245728294945203,0.320899292691142,0.399279736767106
"146",0.502688032748659,0.499760344068192,0.245618182760318,0.320747078788507,0.398845765214913
"147",0.502352028655077,0.499410575951499,0.245469207451356,0.320562478949141,0.398431225224758
"148",0.502024930694095,0.499057569241133,0.245284607611991,0.320381117703448,0.398074979920719
"149",0.501701880975205,0.498753141435863,0.245138870896702,0.320251573956525,0.397666917117911
"150",0.501397453169935,0.498393657538151,0.245025520118144,0.32009936005389,0.397317149001218
"151",0.501067926263699,0.49805684379615,0.244889499183874,0.319969816306967,0.397006244008602
"152",0.50077726248154,0.49775241599088,0.244753478249605,0.319798170842293,0.396682384641293
"153",0.500522223229785,0.497483612716014,0.244604502940643,0.319665388501697,0.396365002461331
"154",0.500267183978029,0.497214809441148,0.244471720600047,0.319503458818043,0.3960800062181
